"(Intercept)","adults","precipitation","winter_harshness","df","logLik","AICc","delta","weight"
-1.67913641932511,0.497530943171904,NA,NA,3,2.2043220907572,7.5913558184856,0,0.665259046309158
-2.6325067299458,NA,0.428453307550671,NA,3,1.36428221644142,9.27143556711716,1.68007974863156,0.287187879449552
-2.31545666024244,0.299922538058991,0.191577256491346,NA,4,3.44444268105673,14.4444479712199,6.85309215273428,0.0216202512160741
-5.77906361285503,NA,0.635666434960199,0.226862202500582,4,2.88761331312846,15.5581067070764,7.96675088859081,0.0123889019005274
-2.4600893795671,0.565936219301201,NA,0.0705837847083992,4,2.45309760074146,16.4271381318504,8.83578231336482,0.00802278285780928
3.49655181474713,NA,NA,-0.337931058781609,3,-3.16401231300749,18.328024626015,10.7366688075294,0.00310136427801066
2.52500002075,NA,NA,NA,2,-6.32166303099124,19.0433260619825,11.4519702434969,0.00216883766625587
-5.92201143088417,0.338217533024526,0.401503909183712,0.262946070877279,5,8.32158951582568,23.3568209683486,15.765465149863,0.000250936322612827
